step=1 pos=(6,14,F2) action=2 | I am on Floor_2 (floor 2, position (6,14)).
step=76 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=77 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=78 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Fire at (13,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1. Smoke at (14,12) on floor 1.
step=79 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Fire at (13,11) on floor 1. Fire at (14,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,12) on floor 1.
step=80 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (13,11) on floor 1. Fire at (14,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,12) on floor 1.
step=81 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (13,11) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,13) on floor 1.
step=82 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (13,11) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,13) on floor 1.
step=83 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (13,11) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,13) on floor 1.
step=84 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (13,11) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (11,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,13) on floor 1.
step=85 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (11,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (14,13) on floor 1.
step=86 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (14,13) on floor 1.
step=87 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (14,13) on floor 1.
step=88 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,13) on floor 1. Smoke at (12,14) on floor 1. Smoke at (14,13) on floor 1.
step=89 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
step=90 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
step=91 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
step=92 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
step=93 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (12,14) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
step=94 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (12,14) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
step=95 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (11,12) on floor 1. Fire at (11,13) on floor 1. Fire at (11,14) on floor 1. Fire at (12,11) on floor 1. Fire at (12,12) on floor 1. Fire at (12,13) on floor 1. Fire at (12,14) on floor 1. Fire at (13,11) on floor 1. Fire at (13,12) on floor 1. Fire at (14,11) on floor 1. Fire at (14,12) on floor 1. Smoke at (13,14) on floor 1. Smoke at (14,13) on floor 1.
