"taskCount","taskId","userId","time","AOI","X","Y","Z"
2,"41_L-EM1_R-EL0",6017211,"3148","corridor_left","-150","-2725188699582825","-4,6337153031558245"
3,"56_L-WL0_R-NM1",6017211,"3799","corridor_right","1.5e+16","-18317018237806848","-8,384823953943368"
4,"11_L-ES1_R-EL0",6017211,"4116","corridor_left","-1.5e+16","-9410326605066842","-1,0821093829633668"
5,"52_L-NM1_R-WM0",6017211,"3451","corridor_left","-150","-1925765791126878","-2,062629272073181"
6,"37_L-EL1_R-EM0",6017211,"3956","corridor_left","-1.5e+16","-5754293445283814","-6,467300929710021"
7,"58_L-WM0_R-NL1",6017211,"2531","corridor_right","150","-10983896529654472","-2,6346158896337215"
8,"57_L-WL1_R-NM0",6017211,"2699","corridor_left","-150","-7738726364411555","8,158521780415393"
9,"04_L-EL1_R-ES0",6017211,"3734","corridor_left","-1.5e+16","4757535936107949","-7,760624855110564"
10,"03_L-EL0_R-ES1",6017211,"2323","corridor_right","1.5e+16","7388728964450124","-11,409297372000694"
11,"30_L-WM0_R-NL0",6017211,"2533","corridor_left","-150","-8130288759143745","18,66105454652353"
12,"29_L-WL1_R-NS0",6017211,"2934","corridor_left","-150","-69403101606321656","1,4808547722320515"
13,"61_L-WM1_R-NL0",6017211,"3278","corridor_left","-150","-13561995170677932","9,414976326535783"
14,"55_L-NS1_R-WM0",6017211,"4066","corridor_left","-1.5e+16","-635234525438171","-18,832417107531313"
15,"50_L-NM0_R-WS1",6017211,"4146","corridor_right","150","-7864875606515582","3,186465420692704"
16,"06_L-EM0_R-EM0",6017211,"3583","corridor_left","-1.5e+16","-4085769539772172","-33,68149341331872"
17,"13_L-WS0_R-NM1",6017211,"4046","corridor_right","1.5e+16","-5641066975550764","0,03651258744891095"
18,"47_L-NL1_R-WM0",6017211,"4531","corridor_left","-1.5e+16","6909776811804257","-3,6537179749127375"
19,"54_L-NS0_R-WM1",6017211,"4516","corridor_right","150","35367168081046288","7,606777280247497"
20,"20_L-NM0_R-WS0",6017211,"5066","corridor_right","150","-7491615116448017","12,566803521875574"
0,"L-NL0_R-WS1_in_tr",60259637,"2419","corridor_right","150","751807692512493","42,05516998123482"
0,"27_L-WL0_R-NS0_tr",60259637,"3081","corridor_left","-150","-31722059590357720","-3,136784503804858"
0,"09_L-ES0_R-EL1_tr",60259637,"3168","corridor_right","1.5e+16","-11713610865775336","0,9346273553597371"
1,"41_L-EM1_R-EL0",60259637,"1254","corridor_left","-150","-3850359693466527","-32,73102910700622"
2,"51_L-NM1_R-WL0",60259637,"1564","corridor_right","150","-11790161920620336","39,03602466383828"
3,"11_L-ES1_R-EL0",60259637,"4117","corridor_left","-1.5e+16","-9663015881721044","8,193971767673645"
4,"42_L-EM1_R-EM0",60259637,"3388","corridor_left","-1.5e+16","27973753562893292","-5,598919704237673"
5,"62_L-WM1_R-NM0",60259637,"4881","corridor_left","-1.5e+16","-38523179544657424","25,98050981050894"
6,"55_L-NS1_R-WM0",60259637,"1870","corridor_left","-150","-1945113582117557","-11,951571872927076"
7,"31_L-WM0_R-NS0",60259637,"4351","corridor_left","-150","-31083823913115864","10,779285673729605"
8,"38_L-EM0_R-EL1",60259637,"3984","corridor_right","1.5e+16","-2322096978536042","-2,401418354425118"
9,"39_L-EE0_R-EE1",60259637,"3220","corridor_right","1.5e+16","-46913049480444120","13,102646308574052"
10,"26_L-WL0_R-NM0",60259637,"4641","corridor_left","-150","-13257944578936204","3,3619913147091793"
11,"59_L-WM0_R-NM1",60259637,"3221","corridor_right","1.5e+16","-1624274782037974","-20,771407196468147"
12,"19_L-NM0_R-WL0",60259637,"3702","corridor_right","150","-176290472195995","54,082485168506125"
13,"09_L-ES0_R-EL1",60259637,"1068","corridor_right","1.5e+16","-2524065021657556","-26,0633095235834"
14,"61_L-WM1_R-NL0",60259637,"4906","corridor_left","-150","-343283652771831","41,07691733972753"
15,"32_L-WS0_R-NL0",60259637,"2736","corridor_left","-150","-2748324400557546","-17,15081151113327"
16,"37_L-EL1_R-EM0",60259637,"4767","corridor_left","-1.5e+16","6751524227601891","-1,1951452226784625"
17,"17_L-NL0_R-WS1",60259637,"5671","corridor_right","1.5e+16","-26760694571304120","45,89658477254867"
18,"48_L-NM0_R-WL1",60259637,"4035","corridor_right","150","-7901785104709852","45,74802316471181"
19,"40_L-EM0_R-ES1",60259637,"3685","corridor_right","1.5e+16","-1869174719101237","-7,263299620472793"
20,"01_L-EL0_R-EM0",60259637,"1472","corridor_left","-1.5e+16","-3714950071215363","-15,90285465807193"
0,"L-NL0_R-WS1_in_tr",60338279,"5924","corridor_left","-150","-4376119683847709","-1946384375862209"
0,"27_L-WL0_R-NS0_tr",60338279,"5571","corridor_left","-150","-17083947529931916","674134072081549"
0,"09_L-ES0_R-EL1_tr",60338279,"6020","corridor_left","-1.5e+16","-30596228497073088","-1100915899415783"
1,"18_L-NL1_R-WS0",60338279,"3637","corridor_left","-1.5e+16","-3596422419426461","-35785424808953368"
2,"52_L-NM1_R-WM0",60338279,"5655","corridor_left","-1.5e+16","-17498051776829276","-11114662340402048"
3,"61_L-WM1_R-NL0",60338279,"5021","corridor_left","-150","-18885623103527448","-7192164733577826"
4,"62_L-WM1_R-NM0",60338279,"5465","corridor_left","-1.5e+16","-32155191008551404","-2135581971760722"
5,"39_L-EE0_R-EE1",60338279,"2450","corridor_right","1.5e+16","-19371955413129396","-12048374826381348"
6,"10_L-ES0_R-EM0",60338279,"2185","corridor_left","-1.5e+16","-3309628525099391","-14896311293764938"
7,"41_L-EM1_R-EL0",60338279,"5933","corridor_left","-150","-1808777437055107","-6394196264494198"
8,"06_L-EM0_R-EM0",60338279,"3317","corridor_left","-1.5e+16","-27511637848118184","-12826982674973692"
9,"21_L-NS0_R-WL0",60338279,"5617","corridor_right","150","-19502050650057624","-4379706200363433"
10,"60_L-WM0_R-NS1",60338279,"5067","corridor_right","1.5e+16","-26721147525828112","-2345441651489176"
11,"11_L-ES1_R-EL0",60338279,"5189","corridor_left","-1.5e+16","-396933047286857","-2337139462564444"
12,"30_L-WM0_R-NL0",60338279,"4670","corridor_left","-150","-3046946326845942","-15835291478223862"
13,"45_L-ES1_R-EM0",60338279,"5461","corridor_left","-150","-3064460895229921","-1861500885894955"
14,"51_L-NM1_R-WL0",60338279,"5398","corridor_left","-150","-2121671674998356","-8058111486174482"
15,"03_L-EL0_R-ES1",60338279,"5138","corridor_right","1.5e+16","-31972224714574184","-14369223666672866"
16,"57_L-WL1_R-NM0",60338279,"6121","corridor_left","-150","-2158104406926376","-4442079539579709"
17,"24_L-NS1_R-WL0",60338279,"5383","corridor_left","-1.5e+16","-30098548722039468","-17796036712233444"
18,"38_L-EM0_R-EL1",60338279,"4705","corridor_right","1.5e+16","-21413466600359664","-12294653748875788"
19,"40_L-EM0_R-ES1",60338279,"5223","corridor_right","1.5e+16","-3215005313824639","-17140405519802044"
20,"25_L-WM0_R-NM0",60338279,"4776","corridor_left","-150","-4053083598071898","11022881006917188"
0,"L-NL0_R-WS1_in_tr",60351030,"null","null","null","null","null"
0,"27_L-WL0_R-NS0_tr",60351030,"4194","corridor_right","150,00000000000003","-9,970959097002542","-11,503163067313778"
0,"09_L-ES0_R-EL1_tr",60351030,"4904","corridor_right","150","-13,748674286669345","-2,2618768872195147"
1,"58_L-WM0_R-NL1",60351030,"5871","corridor_right","150,00000000000003","-9,365125688987284","-10,77625686053814"
2,"44_L-ES0_R-EM1",60351030,"5987","corridor_right","150,00000000000003","-13,028976615815118","-14,605959851534593"
3,"15_L-NL0_R-WM0",60351030,"5477","corridor_left","-150","-8,282259714200798","-8,355919724682863"
4,"54_L-NS0_R-WM1",60351030,"5559","corridor_right","150","-22,26533511353195","26,973997881061436"
5,"04_L-EL1_R-ES0",60351030,"6049","corridor_left","-150,00000000000003","-3,214901202043748","-7,981936847854783"
6,"03_L-EL0_R-ES1",60351030,"5732","corridor_right","150,00000000000003","-13,924719548297784","-8,865908920678123"
7,"63_L-WM1_R-NS0",60351030,"5583","corridor_left","-150","-7,120853839245356","0,6260136604709228"
8,"07_L-EM0_R-ES0",60351030,"2372","corridor_right","150","-2,309657841548443","-28,061619098359202"
9,"49_L-NM0_R-WM1",60351030,"6019","corridor_right","150,00000000000003","-10,528613738517372","13,319452578921446"
10,"31_L-WM0_R-NS0",60351030,"3820","corridor_left","-150","-4,772492992714241","-3,5522296994972784"
11,"51_L-NM1_R-WL0",60351030,"5826","corridor_left","-150,00000000000003","-16,177281474530613","-2,1383880868639125"
12,"59_L-WM0_R-NM1",60351030,"6051","corridor_right","150","-13,71343002071707","-0,3112865951314632"
13,"20_L-NM0_R-WS0",60351030,"4180","corridor_left","-150,00000000000003","-4,048985598344949","-13,144780972715765"
14,"60_L-WM0_R-NS1",60351030,"6086","corridor_right","150,00000000000003","-13,80743902061198","-12,831870878457451"
15,"35_L-WS1_R-NL0",60351030,"6018","corridor_left","-149,99999999999997","-14,624586302341662","-12,05358166407613"
16,"19_L-NM0_R-WL0",60351030,"4304","corridor_right","150","-11,846583295256636","1,0559270174393447"
17,"53_L-NM1_R-WS0",60351030,"5770","corridor_left","-150,00000000000003","-16,630640516894022","0,8102861913238684"
18,"05_L-EM0_R-EL0",60351030,"1373","corridor_right","150,00000000000003","-1,5637276503478645","1,2671103390332945"
19,"57_L-WL1_R-NM0",60351030,"6159","corridor_left","-150","-18,323479582887497","51,9383006341067"
20,"42_L-EM1_R-EM0",60351030,"6376","corridor_left","-150,00000000000006","-25,722445662679817","-4,160866508135342"
0,"L-NL0_R-WS1_in_tr",60779503,"3235","corridor_right","150","-57,21247432151406","27,073019194202594"
0,"27_L-WL0_R-NS0_tr",60779503,"null","null","null","null","null"
0,"09_L-ES0_R-EL1_tr",60779503,"304","corridor_right","150,00000000000003","-33,705946164053266","-23,080281244506807"
1,"11_L-ES1_R-EL0",60779503,"4277","corridor_left","-150,00000000000003","-37,03103165902559","-13,769524552441766"
2,"51_L-NM1_R-WL0",60779503,"2941","corridor_left","-150,00000000000003","-39,49606599830875","-10,802679798596074"
3,"53_L-NM1_R-WS0",60779503,"null","null","null","null","null"
4,"06_L-EM0_R-EM0",60779503,"3257","corridor_right","150,00000000000006","-64,80197243108773","-14,161904793686574"
5,"34_L-WS0_R-NM0",60779503,"5031","corridor_left","-150,00000000000003","-51,070582102485346","-10,881377356467688"
6,"03_L-EL0_R-ES1",60779503,"5275","corridor_right","150,00000000000003","-98,01299813165309","-27,285801926254152"
7,"14_L-WS1_R-NM0",60779503,"4875","corridor_left","-150","-49,93957327245377","17,302613728366502"
8,"50_L-NM0_R-WS1",60779503,"1110","corridor_right","149,99999999999997","-42,33448524530437","16,157107702045913"
9,"27_L-WL0_R-NS0",60779503,"1607","corridor_right","150","-58,06641063238782","-19,311723338714614"
10,"15_L-NL0_R-WM0",60779503,"4275","corridor_right","150","-58,399786245608034","5,28913922130235"
11,"13_L-WS0_R-NM1",60779503,"1504","corridor_right","149,99999999999997","-158,87422952860416","-40,40654382712086"
12,"44_L-ES0_R-EM1",60779503,"3423","corridor_right","150,00000000000003","-79,38746891637521","-14,609097118266519"
13,"62_L-WM1_R-NM0",60779503,"3817","corridor_left","-149,99999999999997","-45,05509869225581","15,597769020279614"
14,"60_L-WM0_R-NS1",60779503,"2923","corridor_right","150,00000000000003","-78,81362913905846","-16,100204783982264"
15,"61_L-WM1_R-NL0",60779503,"3413","corridor_left","-150","-40,487130880813616","5,871089244380016"
16,"36_L-EL0_R-EM1",60779503,"2891","corridor_right","150,00000000000003","-24,58475204845963","-13,296998311330597"
17,"28_L-WL0_R-NS1",60779503,"4963","corridor_right","150,00000000000003","-44,18352029073284","-24,619272770773378"
18,"55_L-NS1_R-WM0",60779503,"4187","corridor_left","-150,00000000000003","-67,62167055166967","-22,02935630627303"
19,"40_L-EM0_R-ES1",60779503,"5520","corridor_right","150,00000000000003","-74,61600472517367","-22,567647010517845"
20,"12_L-NM0_R-WM0",60779503,"3409","corridor_left","-150","-58,80277154851212","-18,177708271999222"
0,"L-NL0_R-WS1_in_tr",61536991,"473","corridor_left","-150,00000000000003","-48,87717138517741","-32,8428932745297"
0,"27_L-WL0_R-NS0_tr",61536991,"4960","corridor_right","150,00000000000003","-13,088365438844711","-23,342067608354128"
0,"09_L-ES0_R-EL1_tr",61536991,"null","null","null","null","null"
1,"60_L-WM0_R-NS1",61536991,"4460","corridor_right","150,00000000000003","-15,839401832085741","-3,9037130597977665"
2,"05_L-EM0_R-EL0",61536991,"4508","corridor_right","150,00000000000003","-6,761239145680129","-8,664083468457747"
3,"42_L-EM1_R-EM0",61536991,"4764","corridor_left","-150,00000000000003","0,8285429573966354","-3,4323518021436428"
4,"48_L-NM0_R-WL1",61536991,"4125","corridor_right","150","5,078773620903171","13,949550015882771"
5,"59_L-WM0_R-NM1",61536991,"3814","corridor_right","150,00000000000003","-2,137437274469164","-2,0653727848263372"
6,"39_L-EE0_R-EE1",61536991,"null","null","null","null","null"
7,"44_L-ES0_R-EM1",61536991,"5751","corridor_right","150,00000000000003","-6,910643614224227","-4,6368041432396865"
8,"03_L-EL0_R-ES1",61536991,"4975","corridor_right","150,00000000000003","-15,20521297664581","-8,328446028750918"
9,"11_L-ES1_R-EL0",61536991,"4566","corridor_left","-150,00000000000003","-19,38427395882998","-11,772508722224245"
